,DateTime,Close,WAP,Volume,High,Low,Time Received,Time
66,20220624  09:30:00,11.3999,11.43923,667,11.65,11.0301,2022-06-26 13:51:04.337757,09:30:00
67,20220624  09:35:00,11.1678,11.12571,729,11.4,10.89,2022-06-26 13:51:04.337757,09:35:00
68,20220624  09:40:00,10.91,10.99465,514,11.16,10.83,2022-06-26 13:51:04.337757,09:40:00
69,20220624  09:45:00,10.31,10.60431,1277,10.98,10.25,2022-06-26 13:51:04.337757,09:45:00
70,20220624  09:50:00,10.9999,10.7783,1180,11.0,10.3301,2022-06-26 13:51:04.337757,09:50:00
71,20220624  09:55:00,10.9411,10.95796,836,11.1099,10.7101,2022-06-26 13:51:04.337757,09:55:00
72,20220624  10:00:00,10.7909,10.99364,407,11.1,10.75,2022-06-26 13:51:04.337757,10:00:00
73,20220624  10:05:00,10.74,10.79353,232,10.9899,10.6501,2022-06-26 13:51:04.337757,10:05:00
74,20220624  10:10:00,10.5925,10.62753,296,10.75,10.52,2022-06-26 13:51:04.337757,10:10:00
75,20220624  10:15:00,10.7,10.63016,367,10.75,10.5575,2022-06-26 13:51:04.337757,10:15:00
76,20220624  10:20:00,10.777,10.83562,273,10.93,10.7,2022-06-26 13:51:04.337757,10:20:00
77,20220624  10:25:00,10.825,10.85327,250,10.9199,10.7653,2022-06-26 13:51:04.337757,10:25:00
78,20220624  10:30:00,10.83,10.87503,240,10.97,10.8,2022-06-26 13:51:04.337757,10:30:00
79,20220624  10:35:00,10.75,10.79784,126,10.9,10.75,2022-06-26 13:51:04.337757,10:35:00
80,20220624  10:40:00,10.625,10.66624,256,10.7907,10.52,2022-06-26 13:51:04.337757,10:40:00
81,20220624  10:45:00,10.575,10.60121,88,10.65,10.54,2022-06-26 13:51:04.337757,10:45:00
82,20220624  10:50:00,10.42,10.44268,205,10.605,10.35,2022-06-26 13:51:04.337757,10:50:00
83,20220624  10:55:00,10.5,10.4592,183,10.5072,10.4,2022-06-26 13:51:04.337757,10:55:00
84,20220624  11:00:00,10.5882,10.52294,169,10.6198,10.4,2022-06-26 13:51:04.337757,11:00:00
85,20220624  11:05:00,10.6228,10.60009,28,10.6362,10.5501,2022-06-26 13:51:04.337757,11:05:00
86,20220624  11:10:00,10.4618,10.54484,94,10.61,10.4618,2022-06-26 13:51:04.337757,11:10:00
87,20220624  11:15:00,10.5688,10.5416,113,10.5929,10.5001,2022-06-26 13:51:04.337757,11:15:00
88,20220624  11:20:00,10.55,10.54167,63,10.5688,10.51,2022-06-26 13:51:04.337757,11:20:00
89,20220624  11:25:00,10.56,10.51876,209,10.5999,10.4501,2022-06-26 13:51:04.337757,11:25:00
90,20220624  11:30:00,10.58,10.53064,125,10.6,10.46,2022-06-26 13:51:04.337757,11:30:00
91,20220624  11:35:00,10.6992,10.66455,85,10.74,10.6001,2022-06-26 13:51:04.337757,11:35:00
92,20220624  11:40:00,10.793,10.74311,138,10.8715,10.6801,2022-06-26 13:51:04.337757,11:40:00
93,20220624  11:45:00,12.04,11.62418,3102,12.18,10.787,2022-06-26 13:51:04.337757,11:45:00
94,20220624  11:50:00,12.9064,12.4753,7520,13.38,11.9001,2022-06-26 13:51:04.338755,11:50:00
95,20220624  11:55:00,13.0701,12.78702,4629,13.12,12.2801,2022-06-26 13:51:04.338755,11:55:00
96,20220624  12:00:00,12.45,12.70133,3858,13.26,12.2,2022-06-26 13:51:04.338755,12:00:00
97,20220624  12:05:00,12.405,12.50741,3963,12.8,12.26,2022-06-26 13:51:04.338755,12:05:00
98,20220624  12:10:00,12.4799,12.40413,1108,12.5394,12.2801,2022-06-26 13:51:04.338755,12:10:00
99,20220624  12:15:00,12.441,12.53658,1843,12.71,12.37,2022-06-26 13:51:04.338755,12:15:00
100,20220624  12:20:00,12.34,12.22819,983,12.4899,12.05,2022-06-26 13:51:04.338755,12:20:00
101,20220624  12:25:00,12.5501,12.4736,1795,12.67,12.22,2022-06-26 13:51:04.338755,12:25:00
102,20220624  12:30:00,12.7719,12.70656,2816,12.8496,12.55,2022-06-26 13:51:04.338755,12:30:00
103,20220624  12:35:00,12.6499,12.69575,765,12.89,12.45,2022-06-26 13:51:04.338755,12:35:00
104,20220624  12:40:00,12.6009,12.57011,664,12.6999,12.44,2022-06-26 13:51:04.338755,12:40:00
105,20220624  12:45:00,12.5,12.53998,487,12.6499,12.45,2022-06-26 13:51:04.338755,12:45:00
106,20220624  12:50:00,13.0526,12.90212,2376,13.2,12.4609,2022-06-26 13:51:04.338755,12:50:00
107,20220624  12:55:00,13.215,13.15753,3170,13.4299,12.85,2022-06-26 13:51:04.338755,12:55:00
108,20220624  13:00:00,13.424,13.45818,4459,13.73,13.12,2022-06-26 13:51:04.338755,13:00:00
109,20220624  13:05:00,13.115,13.31343,1728,13.5537,13.01,2022-06-26 13:51:04.338755,13:05:00
110,20220624  13:10:00,13.281,13.28203,1131,13.44,13.1041,2022-06-26 13:51:04.338755,13:10:00
111,20220624  13:15:00,13.81,13.63414,4195,13.88,13.3,2022-06-26 13:51:04.338755,13:15:00
112,20220624  13:20:00,14.65,14.2755,7253,14.79,13.8,2022-06-26 13:51:04.338755,13:20:00
113,20220624  13:25:00,14.79,15.01099,6626,15.33,14.54,2022-06-26 13:51:04.338755,13:25:00
114,20220624  13:30:00,14.9093,14.90715,5715,15.22,14.37,2022-06-26 13:51:04.338755,13:30:00
115,20220624  13:35:00,14.7222,14.95235,4743,15.22,14.6,2022-06-26 13:51:04.338755,13:35:00
116,20220624  13:40:00,14.85,14.8424,3266,15.03,14.6,2022-06-26 13:51:04.338755,13:40:00
117,20220624  13:45:00,14.8065,14.92703,4137,15.2,14.7,2022-06-26 13:51:04.338755,13:45:00
118,20220624  13:50:00,14.3149,14.49202,2867,14.84,14.31,2022-06-26 13:51:04.338755,13:50:00
119,20220624  13:55:00,14.21,14.20989,3040,14.4,14.0164,2022-06-26 13:51:04.338755,13:55:00
120,20220624  14:00:00,14.33,14.17316,3536,14.3842,13.91,2022-06-26 13:51:04.338755,14:00:00
121,20220624  14:05:00,14.0399,13.95227,2512,14.32,13.75,2022-06-26 13:51:04.338755,14:05:00
122,20220624  14:10:00,14.1,13.9916,1885,14.14,13.8,2022-06-26 13:51:04.338755,14:10:00
123,20220624  14:15:00,14.25,14.23016,2197,14.4,14.07,2022-06-26 13:51:04.338755,14:15:00
124,20220624  14:20:00,14.295,14.26906,1623,14.39,14.1001,2022-06-26 13:51:04.338755,14:20:00
125,20220624  14:25:00,14.4456,14.34819,2133,14.6,14.15,2022-06-26 13:51:04.339752,14:25:00
126,20220624  14:30:00,14.32,14.49278,2167,14.75,14.27,2022-06-26 13:51:04.339752,14:30:00
127,20220624  14:35:00,14.3901,14.2751,999,14.5,14.2,2022-06-26 13:51:04.339752,14:35:00
128,20220624  14:40:00,13.6207,13.96365,2220,14.48,13.51,2022-06-26 13:51:04.339752,14:40:00
129,20220624  14:45:00,13.835,13.72437,1718,13.89,13.47,2022-06-26 13:51:04.339752,14:45:00
130,20220624  14:50:00,13.86,13.73048,1047,13.88,13.5406,2022-06-26 13:51:04.339752,14:50:00
131,20220624  14:55:00,13.2817,13.43796,2451,13.9,13.1,2022-06-26 13:51:04.339752,14:55:00
132,20220624  15:00:00,13.08,13.05506,990,13.3,12.88,2022-06-26 13:51:04.339752,15:00:00
133,20220624  15:05:00,12.94,13.02521,1269,13.14,12.9051,2022-06-26 13:51:04.339752,15:05:00
134,20220624  15:10:00,12.96,12.96138,1085,13.09,12.8,2022-06-26 13:51:04.339752,15:10:00
135,20220624  15:15:00,13.05,13.05245,873,13.19,12.93,2022-06-26 13:51:04.339752,15:15:00
136,20220624  15:20:00,13.1,13.19205,1445,13.349,12.9,2022-06-26 13:51:04.339752,15:20:00
137,20220624  15:25:00,13.1067,13.1323,737,13.2645,12.9545,2022-06-26 13:51:04.339752,15:25:00
138,20220624  15:30:00,12.8185,12.94706,241,13.11,12.8,2022-06-26 13:51:04.339752,15:30:00
139,20220624  15:35:00,13.01,12.96801,228,13.1,12.8523,2022-06-26 13:51:04.339752,15:35:00
140,20220624  15:40:00,12.96,13.08175,444,13.2,12.93,2022-06-26 13:51:04.339752,15:40:00
141,20220624  15:45:00,12.8701,12.88762,180,12.9999,12.85,2022-06-26 13:51:04.339752,15:45:00
142,20220624  15:50:00,12.7947,12.78731,644,12.91,12.6,2022-06-26 13:51:04.339752,15:50:00
